127.0.0.1 - - [02/Jun/2021:13:14:34 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:14:35 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:15:04 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:15:05 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:29:52 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:30:51 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:30:55 -0500] "GET /jsp-servlet-jdbc-mysql-example/new HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:31:25 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:35:24 -0500] "GET /jsp-servlet-jdbc-mysql-example/new HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:35:48 -0500] "POST /jsp-servlet-jdbc-mysql-example/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:35:48 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:35:53 -0500] "GET /jsp-servlet-jdbc-mysql-example/edit?id=1 HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:36:00 -0500] "POST /jsp-servlet-jdbc-mysql-example/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:36:00 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:36:07 -0500] "GET /jsp-servlet-jdbc-mysql-example/new HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:36:39 -0500] "POST /jsp-servlet-jdbc-mysql-example/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:36:39 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:37:47 -0500] "GET /jsp-servlet-jdbc-mysql-example/new HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:58:51 -0500] "POST /jsp-servlet-jdbc-mysql-example/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:58:51 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:58:58 -0500] "GET /jsp-servlet-jdbc-mysql-example/edit?id=2 HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:59:03 -0500] "POST /jsp-servlet-jdbc-mysql-example/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:13:59:03 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [02/Jun/2021:14:00:06 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [02/Jun/2021:14:07:32 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [02/Jun/2021:14:07:33 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:28:21 -0500] "GET /jsp-servlet-jdbc-mysql-example/new HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:32:29 -0500] "POST /jsp-servlet-jdbc-mysql-example/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:32:29 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:33:23 -0500] "GET /jsp-servlet-jdbc-mysql-example/delete?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:33:23 -0500] "GET /jsp-servlet-jdbc-mysql-example/list HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:34:11 -0500] "GET /jsp-servlet-jdbc-mysql-example/error HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:34:14 -0500] "GET /jsp-servlet-jdbc-mysql-example/error HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:35:48 -0500] "GET /jsp-servlet-jdbc-mysql-example/Error.jsp HTTP/1.1" 500 2484
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:29 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:30 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:31 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:32 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:32 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [02/Jun/2021:15:36:32 -0500] "GET /jsp-servlet-jdbc-mysql-example/ HTTP/1.1" 200 4478
